area,habilidade,descricao,tri_score,area_code,tri_range,conceitos_cientificos,conceitos_cientificos_confidence,campos_semanticos,campos_semanticos_confidence,campos_lexicais,campos_lexicais_confidence,processos_fenomenos,processos_fenomenos_confidence,contextos_historicos,contextos_historicos_confidence,habilidades_compostas,habilidades_compostas_confidence,all_entities
Linguagens,H1,"Tecnologia da comunicação, comparando o papiro romano às redes sociais atuais.",483.5,LC,450-550,"redes sociais atuais, Tecnologia da comunicação","0.9441, 0.6012",Tecnologia da comunicação,0.9939,"Tecnologia da comunicação, redes sociais atuais","0.9917, 0.3123",redes sociais atuais,0.4373,papiro romano,0.9719,comparando o papiro romano,0.4358,"redes sociais atuais, Tecnologia da comunicação, Tecnologia da comunicação, Tecnologia da comunicação, redes sociais atuais, redes sociais atuais, papiro romano, comparando o papiro romano"
Linguagens,H1,"Gênero textual redação escolar, sobre a Bandeira Nacional, como veículo de valores patrióticos.",504.9,LC,450-550,"Gênero textual redação escolar, valores patrióticos","0.6162, 0.5458","Gênero textual, Bandeira Nacional","0.6927, 0.4265","Gênero textual, Bandeira Nacional, valores patrióticos","0.6787, 0.3727, 0.3472","redação escolar, veículo de valores patrióticos","0.9139, 0.4829",Bandeira Nacional,0.9451,redação escolar,0.7848,"Gênero textual redação escolar, valores patrióticos, Gênero textual, Bandeira Nacional, Gênero textual, Bandeira Nacional, valores patrióticos, redação escolar, veículo de valores patrióticos, Bandeira Nacional, redação escolar"
Linguagens,H1,"Gênero crônica, com caráter irônico e malicioso sobre a convivência entre vizinhos.",507.4,LC,450-550,"caráter irônico, convivência entre vizinhos","0.7961, 0.7681",Gênero crônica,0.9904,Gênero crônica,0.9831,convivência entre vizinhos,0.9344,Gênero crônica,0.9641,,,"caráter irônico, convivência entre vizinhos, Gênero crônica, Gênero crônica, convivência entre vizinhos, Gênero crônica"
Linguagens,H1,"Gênero crônica, com efeito de humor construído pela articulação de eventos absurdos.",522.8,LC,450-550,"efeito de humor, articulação de eventos absurdos","0.9332, 0.3422",Gênero crônica,0.9988,Gênero crônica,0.9974,articulação de eventos absurdos,0.9972,Gênero crônica,0.9746,articulação de eventos absurdos,0.9184,"efeito de humor, articulação de eventos absurdos, Gênero crônica, Gênero crônica, articulação de eventos absurdos, Gênero crônica, articulação de eventos absurdos"
Linguagens,H1,"Gênero notícia, com estratégia de alarme pelo uso de formulações hipotéticas.",523.1,LC,450-550,"formulações hipotéticas, estratégia de alarme","0.9904, 0.8138",Gênero notícia,0.9917,Gênero notícia,0.9683,"estratégia de alarme, formulações hipotéticas","0.8546, 0.7664",Gênero notícia,0.904,estratégia de alarme,0.8331,"formulações hipotéticas, estratégia de alarme, Gênero notícia, Gênero notícia, estratégia de alarme, formulações hipotéticas, Gênero notícia, estratégia de alarme"
Linguagens,H1,"Gênero textual ladainha, identificado na canção pela sequência textual injuntiva.",576.8,LC,550-650,"sequência textual injuntiva, Gênero textual ladainha","0.9537, 0.41",Gênero textual,0.5444,Gênero textual,0.5419,sequência textual injuntiva,0.9892,Gênero textual ladainha,0.5015,sequência textual injuntiva,0.5041,"sequência textual injuntiva, Gênero textual ladainha, Gênero textual, Gênero textual, sequência textual injuntiva, Gênero textual ladainha, sequência textual injuntiva"
Linguagens,H1,"Gênero notícia, sobre um caso da ""síndrome do coração partido"".",581.2,LC,550-650,síndrome do coração partido,0.9879,Gênero notícia,0.9995,Gênero notícia,0.9977,síndrome do coração partido,0.9813,Gênero notícia,0.8433,,,"síndrome do coração partido, Gênero notícia, Gênero notícia, síndrome do coração partido, Gênero notícia"
Linguagens,H1,"Gênero discurso de homenagem (Rui Barbosa para Machado de Assis), uso de metáforas.",590.7,LC,550-650,"Gênero discurso de homenagem, Machado de Assis","0.7727, 0.4455",Gênero discurso de homenagem,0.9382,Gênero discurso de homenagem,0.9409,"uso de metáforas, Machado de Assis, Rui Barbosa","0.8284, 0.7978, 0.374",Gênero discurso de homenagem,0.5735,"uso de metáforas, Rui Barbosa para Machado de Assis","0.892, 0.5473","Gênero discurso de homenagem, Machado de Assis, Gênero discurso de homenagem, Gênero discurso de homenagem, uso de metáforas, Machado de Assis, Rui Barbosa, Gênero discurso de homenagem, uso de metáforas, Rui Barbosa para Machado de Assis"
Linguagens,H1,"Gênero textual ""inventário"", recurso linguístico da enumeração de objetos e fatos.",596.4,LC,550-650,,,Gênero textual,0.911,Gênero textual,0.8568,enumeração de objetos e fatos,0.9701,Gênero textual,0.3418,enumeração de objetos e fatos,0.9172,"Gênero textual, Gênero textual, enumeração de objetos e fatos, Gênero textual, enumeração de objetos e fatos"
Linguagens,H1,"Charge, humor provocado pela polissemia da expressão ""rede social"".",612.6,LC,550-650,rede social,0.7442,rede social,0.6426,rede social,0.6862,rede social,0.4368,rede social,0.6084,,,"rede social, rede social, rede social, rede social, rede social"
